iter	RMSE
0	61.88392546
1	61.57915749
2	61.28113664
3	60.98163744
4	60.69653529
5	60.41588717
6	60.1278744
7	59.84464886
8	59.58704405
9	59.3158012
10	59.04576868
11	58.78598921
12	58.51692534
13	58.24851482
14	57.99187937
15	57.73662275
16	57.47791371
17	57.23271869
18	56.99024822
19	56.74597292
20	56.50640174
21	56.27640499
22	56.0441854
23	55.81037749
24	55.58218248
25	55.36634441
26	55.15206095
27	54.9308972
28	54.72046507
29	54.50501288
30	54.29587001
31	54.08591204
32	53.87878034
33	53.66747912
34	53.47412908
35	53.28393837
36	53.09166492
37	52.90382248
38	52.71483405
39	52.53249512
40	52.34283086
41	52.15369141
42	51.97497121
43	51.79374433
44	51.61654521
45	51.44710899
46	51.26807052
47	51.08713849
48	50.92239083
49	50.76395295
50	50.61277537
51	50.46152931
52	50.29861982
53	50.13018376
54	49.96290129
55	49.80080251
56	49.64706105
57	49.48845674
58	49.34111324
59	49.18680877
60	49.04266435
61	48.90481199
62	48.75516403
63	48.61187947
64	48.47345108
65	48.33968848
66	48.20108811
67	48.06463189
68	47.92627386
69	47.77916386
70	47.64574311
71	47.51350361
72	47.38799956
73	47.26453643
74	47.13261939
75	47.00077975
76	46.87521538
77	46.74919701
78	46.62680553
79	46.50958537
80	46.38819882
81	46.26535776
82	46.15845637
83	46.04295918
84	45.92729726
85	45.81788985
86	45.7031713
87	45.58852279
88	45.47937307
89	45.36590975
90	45.25145493
91	45.14047213
92	45.04083493
93	44.92854932
94	44.83345596
95	44.73975242
96	44.62768105
97	44.52231289
98	44.42193614
99	44.32370226
100	44.21441405
101	44.11633398
102	44.01539511
103	43.92362128
104	43.83591464
105	43.74321667
106	43.6591787
107	43.57470222
108	43.48589563
109	43.39682996
110	43.31008979
111	43.23008637
112	43.15175785
113	43.06187026
114	42.96829626
115	42.88736852
116	42.8083351
117	42.72803614
118	42.64969461
119	42.56921191
120	42.48525433
121	42.41362292
122	42.32812009
123	42.24677546
124	42.1733689
125	42.10291224
126	42.02087644
127	41.95265836
128	41.8729899
129	41.79581147
130	41.71658613
131	41.65056755
132	41.58207823
133	41.51769662
134	41.454068
135	41.38860891
136	41.32478924
137	41.26225611
138	41.19905744
139	41.13167951
140	41.06253416
141	40.99498168
142	40.93537697
143	40.87188123
144	40.80447543
145	40.74649142
146	40.68192471
147	40.62390198
148	40.56529489
149	40.511447
150	40.44960332
151	40.38765245
152	40.33354565
153	40.27188241
154	40.21957839
155	40.16674869
156	40.1082991
157	40.05051554
158	39.99297607
159	39.9418408
160	39.88334367
161	39.83082533
162	39.77825331
163	39.73391924
164	39.67792168
165	39.63083056
166	39.58099832
167	39.53709788
168	39.48924033
169	39.43560184
170	39.38352786
171	39.33132478
172	39.2818817
173	39.23650317
174	39.18516452
175	39.13597355
176	39.09139509
177	39.04584359
178	39.00167096
179	38.95563953
180	38.91994831
181	38.87826274
182	38.83645085
183	38.79490806
184	38.75247724
185	38.7053315
186	38.66663766
187	38.62233403
188	38.58044853
189	38.53970733
190	38.49889674
191	38.45677811
192	38.41658482
193	38.37334215
194	38.33320555
195	38.2962867
196	38.25494534
197	38.21590396
198	38.17668876
199	38.13653186
200	38.10256791
201	38.06367917
202	38.01412575
203	37.97818835
204	37.94100368
205	37.900779
206	37.86432191
207	37.82865
208	37.79359893
209	37.76054035
210	37.72544454
211	37.6933032
212	37.6590826
213	37.62821554
214	37.58058926
215	37.55013528
216	37.51774807
217	37.48775347
218	37.46021548
219	37.42529445
220	37.39464552
221	37.35821014
222	37.32796969
223	37.29899887
224	37.26894042
225	37.23708551
226	37.20225676
227	37.17195126
228	37.14254978
229	37.10473928
230	37.07118226
231	37.03673255
232	37.00557155
233	36.9680034
234	36.93739374
235	36.89411994
236	36.86575821
237	36.83640233
238	36.81271385
239	36.78478009
240	36.75808351
241	36.72732895
242	36.70443934
243	36.67272451
244	36.63826172
245	36.60868148
246	36.579303
247	36.54887343
248	36.52161662
249	36.49555106
250	36.4731365
251	36.43271882
252	36.40600917
253	36.38136199
254	36.35356686
255	36.32597822
256	36.29842749
257	36.27510117
258	36.24448682
259	36.22231742
260	36.19851679
261	36.17213232
262	36.14659653
263	36.12215117
264	36.10373318
265	36.08322293
266	36.05916348
267	36.03363538
268	36.00791781
269	35.98278568
270	35.95810778
271	35.93036344
272	35.91226884
273	35.88720586
274	35.86411223
275	35.83977759
276	35.8101436
277	35.78632654
278	35.75651193
279	35.73115964
280	35.70880038
281	35.68531679
282	35.66690795
283	35.6455408
284	35.62004077
285	35.59700013
286	35.57847695
287	35.55576683
288	35.53377653
289	35.51272311
290	35.49261464
291	35.47443425
292	35.45629379
293	35.43560817
294	35.41697182
295	35.3972933
296	35.37592869
297	35.35596903
298	35.33920089
299	35.31183148
300	35.29154131
301	35.2716218
302	35.25397321
303	35.23510053
304	35.21727609
305	35.19967312
306	35.1823038
307	35.16299053
308	35.14414669
309	35.12678796
310	35.11097054
311	35.09383516
312	35.068427
313	35.05201358
314	35.03357177
315	35.01632206
316	34.98454344
317	34.97023638
318	34.95777784
319	34.94273066
320	34.92614284
321	34.91398891
322	34.89686318
323	34.87942798
324	34.86537077
325	34.85169837
326	34.83781057
327	34.82309843
328	34.80223664
329	34.78139422
330	34.76677663
331	34.74884767
332	34.73264119
333	34.71640709
334	34.70366415
335	34.68805142
336	34.67195171
337	34.65765607
338	34.64490211
339	34.63202858
340	34.61330791
341	34.60025073
342	34.58742009
343	34.57191064
344	34.55647347
345	34.54589496
346	34.53330594
347	34.51390187
348	34.4985902
349	34.47538698
350	34.4585356
351	34.44615994
352	34.43462348
353	34.42206674
354	34.39349723
355	34.38109853
356	34.36998721
357	34.3534695
358	34.33142136
359	34.31988443
360	34.30776026
361	34.29649786
362	34.2863111
363	34.27316665
364	34.25837019
365	34.24502714
366	34.22993474
367	34.21801471
368	34.20628549
369	34.19735086
370	34.18353959
371	34.17089835
372	34.15509812
373	34.13418262
374	34.12101642
375	34.1101504
376	34.09486778
377	34.08274925
378	34.07049814
379	34.0552749
380	34.04104705
381	34.02710387
382	34.01423413
383	34.005021
384	33.99295263
385	33.98219458
